Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"FSB_REQ2#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1D.M6","610","620","4B","[6]"
"FSB_REQ2#","OffPage","06 X48 Front Side Bus","6","SCHEMATIC1","U1M.L39","1200","220","2D","[1]"
"PCI-E_0_TXP_[0:15]","OffPage","07 X48 PCI-X","7","SCHEMATIC1","","920","90","3D","[17]"
"PCI-E_0_TXP_[0:15]","OffPage","17 PCI Express Channel 0","17","SCHEMATIC1","","1410","220","1D","[7]"
"DP2#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","","1460","320","1C","Property Not Present"
"FSB_REQ3#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1D.K6","610","630","4B","[6]"
"FSB_REQ3#","OffPage","06 X48 Front Side Bus","6","SCHEMATIC1","U1M.K36","1200","210","2D","[1]"
"DP3#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","","1460","330","1C","Property Not Present"
"FSB_REQ4#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1D.J6","610","640","4B","[6]"
"FSB_REQ4#","OffPage","06 X48 Front Side Bus","6","SCHEMATIC1","U1M.H39","1200","200","2D","[1]"
"FSB_RS0#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1D.B3","610","760","4B","[6]"
"FSB_RS0#","OffPage","06 X48 Front Side Bus","6","SCHEMATIC1","U1L.R44","110","640","5B","[1]"
"FSB_RS1#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1D.F5","610","770","4B","[6]"
"FSB_RS1#","OffPage","06 X48 Front Side Bus","6","SCHEMATIC1","U1L.W41","110","650","5B","[1]"
"FSB_RS2#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1D.A3","610","780","4B","[6]"
"FSB_RS2#","OffPage","06 X48 Front Side Bus","6","SCHEMATIC1","U1L.R41","110","660","5B","[1]"
"FSB_MSID0","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1D.W1","610","800","4B","Property Not Present"
"FSB_MSID1","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1D.V1","610","810","4A","Property Not Present"
"FSB_MCERR#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1D.AB3","610","830","4A","Property Not Present"
"FSB_LOCK#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1D.C3","610","850","4A","[6]"
"FSB_LOCK#","OffPage","06 X48 Front Side Bus","6","SCHEMATIC1","U1M.T45","1200","300","2C","[1]"
"FSB_HIT#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1D.D4","610","870","4A","[6]"
"FSB_HIT#","OffPage","06 X48 Front Side Bus","6","SCHEMATIC1","U1M.R42","810","280","3C","[1]"
"DDR_B_DM_[0:7]","OffPage","16 DDR3 Channel 1 Slot 1","16","SCHEMATIC1","","610","200","4D","[15,9]"
"DDR_B_DM_[0:7]","OffPage","15 DDR3 Channel 1 Slot 0","15","SCHEMATIC1","","620","150","4D","[16,9]"
"DDR_B_DM_[0:7]","OffPage","09 X48 DDR3 Channel 1","9","SCHEMATIC1","","760","410","3C","[15,16]"
"FSB_HITM#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1D.E4","610","890","4A","[6]"
"FSB_HITM#","OffPage","06 X48 Front Side Bus","6","SCHEMATIC1","U1M.V42","810","300","3C","[1]"
"FSB_RSP#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1D.H4","610","740","4B","Property Not Present"
"FSB_SMI#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1D.P2","610","720","4B","Property Not Present"
"FSB_STPCLK#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1D.M3","610","700","4B","Property Not Present"
"FSB_TRDY#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1D.E3","610","680","4B","[6]"
"FSB_TRDY#","OffPage","06 X48 Front Side Bus","6","SCHEMATIC1","U1M.W40","1200","260","2C","[1]"
"FSB_TRST#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1D.AG1","610","660","4B","Property Not Present"
"FSB_LL_ID1","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1D.AA2","220","900","5A","Property Not Present"
"DDR_B_DQSB_[0:8]","OffPage","16 DDR3 Channel 1 Slot 1","16","SCHEMATIC1","","1120","260","2C","[15,9]"
"DDR_B_DQSB_[0:8]","OffPage","15 DDR3 Channel 1 Slot 0","15","SCHEMATIC1","","1130","210","2D","[16,9]"
"DDR_B_DQSB_[0:8]","OffPage","09 X48 DDR3 Channel 1","9","SCHEMATIC1","","760","310","3C","[15,16]"
"FSB_LL_ID0","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1D.V2","220","890","5A","Property Not Present"
"PCI-E_1_RXN_[0:15]","OffPage","07 X48 PCI-X","7","SCHEMATIC1","","290","550","5B","[18]"
"PCI-E_1_RXN_[0:15]","OffPage","18 PCI Express Channel 1","18","SCHEMATIC1","","870","240","3D","[7]"
"FSB_LINT0","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1D.K1","220","860","5A","Property Not Present"
"FSB_LINT1","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1D.L1","220","870","5A","Property Not Present"
"FSB_INIT#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1D.P3","220","840","5A","Property Not Present"
"DDR_B_DQS_[0:8]","OffPage","16 DDR3 Channel 1 Slot 1","16","SCHEMATIC1","","1120","170","2D","[15,9]"
"DDR_B_DQS_[0:8]","OffPage","15 DDR3 Channel 1 Slot 0","15","SCHEMATIC1","","1130","120","2D","[16,9]"
"DDR_B_DQS_[0:8]","OffPage","09 X48 DDR3 Channel 1","9","SCHEMATIC1","","760","210","3D","[15,16]"
"FSB_IGNNE#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1D.N2","220","820","5A","Property Not Present"
"OFFPAGERIGHT-R","OffPage","13 DDR3 Channel 0 Slot 0","13","SCHEMATIC1","","400","600","4B","Property Not Present"
"OFFPAGERIGHT-R","OffPage","14 DDR3 Channel 0 Slot 1","14","SCHEMATIC1","","750","510","3C","Property Not Present"
"FSB_IERR#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1D.AB2","220","800","5B","Property Not Present"
"FSB_FERR#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1D.R3","220","780","5B","Property Not Present"
"FSB_DRDY#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1D.C1","220","760","5B","[6]"
"FSB_DRDY#","OffPage","06 X48 Front Side Bus","6","SCHEMATIC1","U1M.U41","1200","280","2C","[1]"
"FSB_DEFER#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1D.G7","220","740","5B","[6]"
"FSB_DEFER#","OffPage","06 X48 Front Side Bus","6","SCHEMATIC1","U1M.T39","810","320","3C","[1]"
